word	freq	pinyin
the	50000	the
hello	49900	hello
thanks	49800	thanks
thank	49750	thank
please	49700	please
sorry	49650	sorry
yes	49600	yes
okay	49550	okay
ok	49540	ok
hi	49530	hi
hey	49520	hey
to	49500	to
bye	49400	bye
good	49300	good
morning	49200	morning
afternoon	49100	afternoon
evening	49050	evening
and	49000	and
night	49000	night
love	48900	love
happy	48800	happy
today	48700	today
tomorrow	48600	tomorrow
yesterday	48550	yesterday
email	48500	email
of	48500	of
password	48400	password
login	48300	login
search	48200	search
message	48100	message
phone	48050	phone
a	48000	a
address	48000	address
english	47900	english
language	47800	language
keyboard	47700	keyboard
input	47600	input
in	47500	in
is	47000	is
it	46500	it
you	46000	you
that	45500	that
he	45000	he
was	44500	was
for	44000	for
on	43500	on
are	43000	are
with	42500	with
as	42000	as
i	41500	i
his	41000	his
they	40500	they
be	40000	be
at	39500	at
one	39000	one
have	38500	have
this	38000	this
from	37500	from
or	37000	or
had	36500	had
by	36000	by
hot	35500	hot
word	35000	word
but	34500	but
what	34000	what
some	33500	some
we	33000	we
can	32500	can
out	32000	out
other	31500	other
were	31000	were
all	30500	all
there	30000	there
when	29500	when
up	29000	up
use	28500	use
your	28000	your
how	27500	how
said	27000	said
an	26500	an
each	26000	each
she	25500	she
which	25000	which
do	24500	do
their	24000	their
time	23500	time
if	23000	if
will	22500	will
way	22000	way
about	21500	about
many	21000	many
then	20500	then
them	20000	them
write	19500	write
would	19000	would
like	18500	like
so	18000	so
these	17500	these
her	17000	her
long	16500	long
make	16000	make
thing	15500	thing
see	15000	see
him	14500	him
two	14000	two
has	13500	has
look	13000	look
more	12500	more
day	12000	day
could	11500	could
go	11000	go
come	10500	come
did	10000	did
number	9800	number
sound	9600	sound
no	9400	no
most	9200	most
people	9000	people
my	8800	my
over	8600	over
know	8400	know
water	8200	water
than	8000	than
call	7800	call
first	7600	first
who	7400	who
may	7200	may
down	7000	down
side	6800	side
been	6600	been
now	6400	now
find	6200	find
any	6000	any
new	5800	new
work	5600	work
part	5400	part
take	5200	take
get	5000	get
place	4900	place
made	4800	made
live	4700	live
where	4600	where
after	4500	after
back	4400	back
little	4300	little
only	4200	only
round	4100	round
man	4000	man
year	3900	year
came	3800	came
show	3700	show
every	3600	every
me	3400	me
give	3300	give
our	3200	our
under	3100	under
name	3000	name
very	2900	very
through	2800	through
just	2700	just
form	2600	form
sentence	2500	sentence
great	2400	great
think	2300	think
say	2200	say
help	2100	help
low	2000	low
line	1950	line
differ	1900	differ
turn	1850	turn
cause	1800	cause
much	1750	much
mean	1700	mean
before	1650	before
move	1600	move
right	1550	right
boy	1500	boy
old	1450	old
too	1400	too
same	1350	same
tell	1300	tell
does	1250	does
set	1200	set
three	1150	three
want	1100	want
air	1050	air
well	1000	well
also	990	also
play	980	play
small	970	small
end	960	end
put	950	put
home	940	home
read	930	read
hand	920	hand
port	910	port
large	900	large
spell	890	spell
add	880	add
even	870	even
land	860	land
here	850	here
must	840	must
big	830	big
high	820	high
such	810	such
follow	800	follow
act	790	act
why	780	why
ask	770	ask
men	760	men
change	750	change
went	740	went
light	730	light
kind	720	kind
off	710	off
need	700	need
house	690	house
picture	680	picture
try	670	try
us	660	us
again	650	again
animal	640	animal
point	630	point
mother	620	mother
world	610	world
near	600	near
build	590	build
self	580	self
earth	570	earth
father	560	father
head	550	head
stand	540	stand
own	530	own
page	520	page
should	510	should
country	500	country
found	490	found
answer	480	answer
school	470	school
grow	460	grow
study	450	study
still	440	still
learn	430	learn
plant	420	plant
cover	410	cover
food	400	food
sun	390	sun
four	380	four
between	370	between
state	360	state
keep	350	keep
eye	340	eye
never	330	never
last	320	last
let	310	let
thought	300	thought
city	290	city
tree	280	tree
cross	270	cross
farm	260	farm
hard	250	hard
start	240	start
might	230	might
story	220	story
saw	210	saw
far	200	far
sea	190	sea
draw	180	draw
left	170	left
late	160	late
run	150	run
don't	145	don't
while	140	while
press	135	press
close	130	close
real	120	real
life	115	life
few	110	few
north	105	north
open	100	open
seem	98	seem
together	96	together
next	94	next
white	92	white
children	90	children
begin	88	begin
got	86	got
walk	84	walk
example	82	example
ease	80	ease
paper	78	paper
group	76	group
always	74	always
music	72	music
those	70	those
both	68	both
mark	66	mark
often	64	often
letter	62	letter
until	60	until
mile	58	mile
river	56	river
car	54	car
feet	52	feet
care	50	care
second	49	second
book	48	book
carry	47	carry
took	46	took
science	45	science
eat	44	eat
room	43	room
friend	42	friend
began	41	began
idea	40	idea
fish	39	fish
mountain	38	mountain
stop	37	stop
once	36	once
base	35	base
hear	34	hear
horse	33	horse
cut	32	cut
sure	31	sure
watch	30	watch
color	29	color
face	28	face
wood	27	wood
main	26	main
enough	25	enough
plain	24	plain
girl	23	girl
usual	22	usual
young	21	young
ready	20	ready
above	19	above
ever	18	ever
red	17	red
list	16	list
though	15	though
feel	14	feel
talk	13	talk
bird	12	bird
soon	11	soon
body	10	body
dog	9	dog
family	8	family
direct	7	direct
pose	6	pose
leave	5	leave
song	4	song
measure	3	measure
door	2	door
product	1	product
