word	freq	romanized
ที่	49999	ที่
จะ	49998	จะ
เป็น	49997	เป็น
ไป	49996	ไป
ก็	49995	ก็
ไม่	49994	ไม่
มี	49993	มี
ได้	49992	ได้
ว่า	49991	ว่า
ให้	49990	ให้
มา	49989	มา
ของ	49988	ของ
ใน	49987	ใน
และ	49986	และ
ความ	49985	ความ
แล้ว	49984	แล้ว
การ	49983	การ
อยู่	49982	อยู่
คน	49981	คน
กัน	49980	กัน
แต่	49979	แต่
เขา	49978	เขา
นั้น	49977	นั้น
กับ	49976	กับ
นี้	49975	นี้
ขึ้น	49974	ขึ้น
ด้วย	49973	ด้วย
หรือ	49972	หรือ
จึง	49971	จึง
อย่าง	49970	อย่าง
เรา	49969	เรา
ต้อง	49968	ต้อง
ทำ	49967	ทำ
ฉัน	49966	ฉัน
คำ	49965	คำ
หนึ่ง	49964	หนึ่ง
เห็น	49963	เห็น
ผู้	49962	ผู้
เมื่อ	49961	เมื่อ
ใช้	49960	ใช้
จาก	49959	จาก
แม่	49958	แม่
ตัว	49957	ตัว
มัน	49956	มัน
ออก	49955	ออก
เข้า	49954	เข้า
ตาม	49953	ตาม
ดี	49952	ดี
ยัง	49951	ยัง
เรื่อง	49950	เรื่อง
พูด	49949	พูด
ไว้	49948	ไว้
มาก	49947	มาก
ลูก	49946	ลูก
อีก	49945	อีก
ถึง	49944	ถึง
เพราะ	49943	เพราะ
ท่าน	49942	ท่าน
ลง	49941	ลง
เสียง	49940	เสียง
ซึ่ง	49939	ซึ่ง
ดู	49938	ดู
รู้	49937	รู้
ถ้า	49936	ถ้า
ทั้ง	49935	ทั้ง
เอา	49934	เอา
พระ	49933	พระ
พ่อ	49932	พ่อ
คิด	49931	คิด
บ้าน	49930	บ้าน
อะไร	49929	อะไร
วัน	49928	วัน
ทาง	49927	ทาง
คือ	49926	คือ
หา	49925	หา
บอก	49924	บอก
ทุก	49923	ทุก
เวลา	49922	เวลา
อ่าน	49921	อ่าน
เช่น	49920	เช่น
สอง	49919	สอง
น้ำ	49918	น้ำ
เพื่อ	49917	เพื่อ
เลย	49916	เลย
กิน	49915	กิน
ภาษา	49914	ภาษา
ผม	49913	ผม
รับ	49912	รับ
จน	49911	จน
ช่วย	49910	ช่วย
เจ้า	49909	เจ้า
โดย	49908	โดย
เกิด	49907	เกิด
เสีย	49906	เสีย
หน้า	49905	หน้า
ทำให้	49904	ทำให้
กลับ	49903	กลับ
อาจ	49902	อาจ
กว่า	49901	กว่า
เหมือน	49900	เหมือน
ฟัง	49899	ฟัง
ข้าพเจ้า	49898	ข้าพเจ้า
พอ	49897	พอ
แก่	49896	แก่
เธอ	49895	เธอ
ไทย	49894	ไทย
คง	49893	คง
เดิน	49892	เดิน
เด็ก	49891	เด็ก
อัน	49890	อัน
ใคร	49889	ใคร
เคย	49888	เคย
บ้าง	49887	บ้าง
งาน	49886	งาน
นำ	49885	นำ
เมือง	49884	เมือง
ใจ	49883	ใจ
ถาม	49882	ถาม
ควร	49881	ควร
บาง	49880	บาง
ทรง	49879	ทรง
ครั้ง	49878	ครั้ง
ใด	49877	ใด
พวก	49876	พวก
ใหญ่	49875	ใหญ่
ขอ	49874	ขอ
แสดง	49873	แสดง
หลาย	49872	หลาย
ต่างๆ	49871	ต่างๆ
สี	49870	สี
ถูก	49869	ถูก
ก่อน	49868	ก่อน
กำลัง	49867	กำลัง
สิ่ง	49866	สิ่ง
หนังสือ	49865	หนังสือ
พา	49864	พา
เขียน	49863	เขียน
ส่วน	49862	ส่วน
เล่า	49861	เล่า
ต่อ	49860	ต่อ
อื่น	49859	อื่น
ตน	49858	ตน
นั่ง	49857	นั่ง
บน	49856	บน
นี่	49855	นี่
เอง	49854	เอง
กล่าว	49853	กล่าว
อาหาร	49852	อาหาร
รู้สึก	49851	รู้สึก
รัก	49850	รัก
นก	49849	นก
นะ	49848	นะ
เล่น	49847	เล่น
เรียน	49846	เรียน
อย่างไร	49845	อย่างไร
ตอบ	49844	ตอบ
ชอบ	49843	ชอบ
อยาก	49842	อยาก
นักเรียน	49841	นักเรียน
ร้อง	49840	ร้อง
น่า	49839	น่า
ต่อไป	49838	ต่อไป
นัก	49837	นัก
ชื่อ	49836	ชื่อ
แห่ง	49835	แห่ง
จริง	49834	จริง
ชีวิต	49833	ชีวิต
น้อย	49832	น้อย
สามารถ	49831	สามารถ
เข้าใจ	49830	เข้าใจ
อย่า	49829	อย่า
ตา	49828	ตา
ข้า	49827	ข้า
ต้น	49826	ต้น
ปี	49825	ปี
เรือ	49824	เรือ
เดียว	49823	เดียว
แก	49822	แก
สัตว์	49821	สัตว์
ต่าง	49820	ต่าง
คุณ	49819	คุณ
ป่า	49818	ป่า
ยิ่ง	49817	ยิ่ง
นาย	49816	นาย
ตาย	49815	ตาย
สำคัญ	49814	สำคัญ
เพื่อน	49813	เพื่อน
ละ	49812	ละ
วิ่ง	49811	วิ่ง
ดัง	49810	ดัง
โรงเรียน	49809	โรงเรียน
พบ	49808	พบ
หลัง	49807	หลัง
มนุษย์	49806	มนุษย์
ไม้	49805	ไม้
นอน	49804	นอน
ประโยค	49803	ประโยค
เงิน	49802	เงิน
มอง	49801	มอง
เรียก	49800	เรียก
ตั้ง	49799	ตั้ง
สาม	49798	สาม
ยก	49797	ยก
สัก	49796	สัก
ส่ง	49795	ส่ง
ใช่	49794	ใช่
ทราบ	49793	ทราบ
หล่อน	49792	หล่อน
รู้จัก	49791	รู้จัก
ตรง	49790	ตรง
ครู	49789	ครู
จับ	49788	จับ
หมด	49787	หมด
นาง	49786	นาง
หนู	49785	หนู
พี่	49784	พี่
ความหมาย	49783	ความหมาย
ครับ	49782	ครับ
บท	49781	บท
สำหรับ	49780	สำหรับ
ไหน	49779	ไหน
เพียง	49778	เพียง
ตอน	49777	ตอน
รถ	49776	รถ
มือ	49775	มือ
ไหม	49774	ไหม
ประโยชน์	49773	ประโยชน์
ใหม่	49772	ใหม่
เท่านั้น	49771	เท่านั้น
ได้ยิน	49770	ได้ยิน
ชาย	49769	ชาย
รีบ	49768	รีบ
ต้องการ	49767	ต้องการ
ยืน	49766	ยืน
ผล	49765	ผล
ฝ่าย	49764	ฝ่าย
มัก	49763	มัก
ตัวอย่าง	49762	ตัวอย่าง
ห้อง	49761	ห้อง
ทหาร	49760	ทหาร
เลี้ยง	49759	เลี้ยง
ผิด	49758	ผิด
ปลา	49757	ปลา
ใส่	49756	ใส่
ข้าง	49755	ข้าง
นาน	49754	นาน
ขาย	49753	ขาย
ชนิด	49752	ชนิด
ที่สุด	49751	ที่สุด
ข้าว	49750	ข้าว
สอน	49749	สอน
ทำไม	49748	ทำไม
ซื้อ	49747	ซื้อ
สุข	49746	สุข
แม้	49745	แม้
สูง	49744	สูง
หนี	49743	หนี
เก็บ	49742	เก็บ
เสมอ	49741	เสมอ
กลัว	49740	กลัว
โลก	49739	โลก
รูป	49738	รูป
มิได้	49737	มิได้
พระองค์	49736	พระองค์
ชั้น	49735	ชั้น
คอย	49734	คอย
น้อง	49733	น้อง
บุคคล	49732	บุคคล
เที่ยว	49731	เที่ยว
ตลอด	49730	ตลอด
แรก	49729	แรก
คืน	49728	คืน
ศึกษา	49727	ศึกษา
ต้นไม้	49726	ต้นไม้
อื่นๆ	49725	อื่นๆ
ทั้งหลาย	49724	ทั้งหลาย
วัด	49723	วัด
ชาว	49722	ชาว
ย่อม	49721	ย่อม
ติด	49720	ติด
จัด	49719	จัด
ตั้งแต่	49718	ตั้งแต่
ตก	49717	ตก
จง	49716	จง
แล	49715	แล
พยายาม	49714	พยายาม
เหตุ	49713	เหตุ
นึก	49712	นึก
ลักษณะ	49711	ลักษณะ
เล็ก	49710	เล็ก
ช้าง	49709	ช้าง
หมา	49708	หมา
จำ	49707	จำ
ดอก	49706	ดอก
ราช	49705	ราช
ล่ะ	49704	ล่ะ
คุณแม่	49703	คุณแม่
วิธี	49702	วิธี
เช้า	49701	เช้า
ด้าน	49700	ด้าน
ที	49699	ที
ถือ	49698	ถือ
ผ่าน	49697	ผ่าน
สร้าง	49696	สร้าง
ใบ	49695	ใบ
เชื่อ	49694	เชื่อ
หาย	49693	หาย
ข้อ	49692	ข้อ
ครั้น	49691	ครั้น
ระหว่าง	49690	ระหว่าง
เลือก	49689	เลือก
ร่วม	49688	ร่วม
ใกล้	49687	ใกล้
หน้าที่	49686	หน้าที่
คะ	49685	คะ
เรียกว่า	49684	เรียกว่า
ยอม	49683	ยอม
เป็นต้น	49682	เป็นต้น
นา	49681	นา
ม้า	49680	ม้า
หัว	49679	หัว
เดิม	49678	เดิม
ประเทศ	49677	ประเทศ
อาศัย	49676	อาศัย
หญิง	49675	หญิง
หยุด	49674	หยุด
ยาย	49673	ยาย
ตี	49672	ตี
ปาก	49671	ปาก
เดียวกัน	49670	เดียวกัน
ดังนี้	49669	ดังนี้
โอกาส	49668	โอกาส
นั่น	49667	นั่น
น่ะ	49666	น่ะ
ยาว	49665	ยาว
รักษา	49664	รักษา
ผู้ใหญ่	49663	ผู้ใหญ่
แบบ	49662	แบบ
ปลูก	49661	ปลูก
แต่ง	49660	แต่ง
หัวเราะ	49659	หัวเราะ
วันนี้	49658	วันนี้
เด็กๆ	49657	เด็กๆ
วาง	49656	วาง
สาร	49655	สาร
บิน	49654	บิน
เครื่อง	49653	เครื่อง
ปรากฏ	49652	ปรากฏ
ผ้า	49651	ผ้า
ค่ะ	49650	ค่ะ
ใต้	49649	ใต้
พร้อม	49648	พร้อม
กลุ่ม	49647	กลุ่ม
ฝน	49646	ฝน
เช่นนี้	49645	เช่นนี้
พลาง	49644	พลาง
เดือน	49643	เดือน
โต	49642	โต
เริ่ม	49641	เริ่ม
หรอก	49640	หรอก
สั่ง	49639	สั่ง
นิทาน	49638	นิทาน
ดิน	49637	ดิน
เล็กๆ	49636	เล็กๆ
ประการ	49635	ประการ
ดังนั้น	49634	ดังนั้น
จริงๆ	49633	จริงๆ
สังเกต	49632	สังเกต
เสร็จ	49631	เสร็จ
ประตู	49630	ประตู
อายุ	49629	อายุ
แรง	49628	แรง
เกี่ยวกับ	49627	เกี่ยวกับ
ชาติ	49626	ชาติ
สนใจ	49625	สนใจ
พิจารณา	49624	พิจารณา
ประชุม	49623	ประชุม
เย็น	49622	เย็น
งาม	49621	งาม
สาว	49620	สาว
ฆ่า	49619	ฆ่า
ร้อน	49618	ร้อน
ไกล	49617	ไกล
เหตุผล	49616	เหตุผล
รวม	49615	รวม
นาม	49614	นาม
สมัย	49613	สมัย
ตนเอง	49612	ตนเอง
ยา	49611	ยา
ทัน	49610	ทัน
แต่ละ	49609	แต่ละ
สวน	49608	สวน
กลาง	49607	กลาง
ร้าน	49606	ร้าน
หาก	49605	หาก
เดินทาง	49604	เดินทาง
สื่อสาร	49603	สื่อสาร
สระ	49602	สระ
ตัด	49601	ตัด
ยิ้ม	49600	ยิ้ม
อาจารย์	49599	อาจารย์
สู่	49598	สู่
เหล่านี้	49597	เหล่านี้
ลุก	49596	ลุก
ซี	49595	ซี
ชวน	49594	ชวน
หลัก	49593	หลัก
วิชา	49592	วิชา
ทัพ	49591	ทัพ
เกิน	49590	เกิน
เช่นนั้น	49589	เช่นนั้น
พวกเรา	49588	พวกเรา
จำเป็น	49587	จำเป็น
แทน	49586	แทน
เถิด	49585	เถิด
ขาว	49584	ขาว
ทันที	49583	ทันที
ทิ้ง	49582	ทิ้ง
ยาก	49581	ยาก
เพลง	49580	เพลง
ไก่	49579	ไก่
เต็ม	49578	เต็ม
เจ้าของ	49577	เจ้าของ
ขน	49576	ขน
เสด็จ	49575	เสด็จ
หัน	49574	หัน
ไฟ	49573	ไฟ
ปัญหา	49572	ปัญหา
สิบ	49571	สิบ
มิ	49570	มิ
จบ	49569	จบ
หญ้า	49568	หญ้า
หลับ	49567	หลับ
คราว	49566	คราว
ข้อความ	49565	ข้อความ
แน่	49564	แน่
ประจำ	49563	ประจำ
เปิด	49562	เปิด
ต่อมา	49561	ต่อมา
บิดา	49560	บิดา
รอ	49559	รอ
ประเภท	49558	ประเภท
เปลี่ยน	49557	เปลี่ยน
จำนวน	49556	จำนวน
สี่	49555	สี่
เร็ว	49554	เร็ว
ขาด	49553	ขาด
ชม	49552	ชม
ซิ	49551	ซิ
ปล่อย	49550	ปล่อย
กระทำ	49549	กระทำ
ทะเล	49548	ทะเล
ทีเดียว	49547	ทีเดียว
ช่าง	49546	ช่าง
นอกจาก	49545	นอกจาก
สบาย	49544	สบาย
หมายถึง	49543	หมายถึง
เถอะ	49542	เถอะ
วัว	49541	วัว
เรือน	49540	เรือน
พ่อแม่	49539	พ่อแม่
ภาพ	49538	ภาพ
เท่า	49537	เท่า
ขา	49536	ขา
เสือ	49535	เสือ
ลุง	49534	ลุง
วรรค	49533	วรรค
องค์	49532	องค์
กอง	49531	กอง
ดำ	49530	ดำ
มารดา	49529	มารดา
จดหมาย	49528	จดหมาย
ประกอบ	49527	ประกอบ
ตั้งใจ	49526	ตั้งใจ
ตัวเอง	49525	ตัวเอง
สู้	49524	สู้
บางที	49523	บางที
ถ้อยคำ	49522	ถ้อยคำ
ณ	49521	ณ
พัก	49520	พัก
พอใจ	49519	พอใจ
ดีใจ	49518	ดีใจ
นิยม	49517	นิยม
ผู้หญิง	49516	ผู้หญิง
เหลือ	49515	เหลือ
ครอบครัว	49514	ครอบครัว
ถูกต้อง	49513	ถูกต้อง
ช้า	49512	ช้า
ลา	49511	ลา
แดง	49510	แดง
ค่า	49509	ค่า
เนื้อ	49508	เนื้อ
บุตร	49507	บุตร
เกาะ	49506	เกาะ
โกรธ	49505	โกรธ
สังคม	49504	สังคม
ง่าย	49503	ง่าย
หมู่บ้าน	49502	หมู่บ้าน
พยัญชนะ	49501	พยัญชนะ
ลม	49500	ลม
สวัสดี	49500	สวัสดี
สนุก	49499	สนุก
เท้า	49498	เท้า
ดอกไม้	49497	ดอกไม้
