word	freq	romanized
không	49999	khong
là	49998	la
tôi	49997	toi
có	49996	co
của	49995	cua
và	49994	va
anh	49993	anh
được	49992	duoc
đã	49991	da
cho	49990	cho
sẽ	49989	se
đó	49988	do
các	49987	cac
người	49986	nguoi
trong	49985	trong
với	49984	voi
này	49983	nay
đi	49982	di
phải	49981	phai
gì	49980	gi
những	49979	nhung
ở	49978	o
để	49977	de
cô	49976	co
làm	49975	lam
rồi	49974	roi
ta	49973	ta
đây	49972	day
em	49971	em
biết	49970	biet
ông	49969	ong
đến	49968	den
khi	49967	khi
ra	49966	ra
lại	49965	lai
về	49964	ve
nó	49963	no
cũng	49962	cung
con	49961	con
nhưng	49960	nhung
nói	49959	noi
có thể	49958	cothe
vào	49957	vao
mà	49956	ma
đang	49955	dang
như	49954	nhu
cậu	49953	cau
còn	49952	con
thì	49951	thi
cái	49950	cai
chúng ta	49949	chungta
ấy	49948	ay
chỉ	49947	chi
bạn	49946	ban
nhiều	49945	nhieu
muốn	49944	muon
từ	49943	tu
sao	49942	sao
rất	49941	rat
nào	49940	nao
trên	49939	tren
mình	49938	minh
họ	49937	ho
năm	49936	nam
hơn	49935	hon
bị	49934	bi
vậy	49933	vay
thấy	49932	thay
nếu	49931	neu
thế	49930	the
việc	49929	viec
cần	49928	can
đâu	49927	dau
nhà	49926	nha
tới	49925	toi
lên	49924	len
sau	49923	sau
thôi	49922	thoi
cả	49921	ca
ai	49920	ai
theo	49919	theo
nên	49918	nen
chuyện	49917	chuyen
sự	49916	su
chưa	49915	chua
nghĩ	49914	nghi
vì	49913	vi
nữa	49912	nua
đấy	49911	day
hắn	49910	han
điều	49909	dieu
ngày	49908	ngay
mới	49907	moi
trước	49906	truoc
tại	49905	tai
thứ	49904	thu
khác	49903	khac
mọi	49902	moi
hay	49901	hay
nhất	49900	nhat
chứ	49899	chu
vẫn	49898	van
thật	49897	that
tốt	49896	tot
à	49895	a
nghe	49894	nghe
qua	49893	qua
đúng	49892	dung
mẹ	49891	me
tìm	49890	tim
hãy	49889	hay
chúng	49888	chung
rằng	49887	rang
cùng	49886	cung
lần	49885	lan
quá	49884	qua
bà	49883	ba
nước	49882	nuoc
cách	49881	cach
không thể	49880	khongthe
đừng	49879	dung
tên	49878	ten
giờ	49877	gio
đưa	49876	dua
ngay	49875	ngay
mày	49874	may
giúp	49873	giup
tớ	49872	to
nhìn	49871	nhin
nhau	49870	nhau
chết	49869	chet
lúc	49868	luc
xem	49867	xem
gặp	49866	gap
bằng	49865	bang
tất cả	49864	tatca
tin	49863	tin
bên	49862	ben
lấy	49861	lay
đều	49860	deu
cháu	49859	chau
gọi	49858	goi
chính	49857	chinh
tao	49856	tao
cao	49855	cao
nơi	49854	noi
do	49853	do
thời gian	49852	thoigian
từng	49851	tung
đường	49850	duong
lớn	49849	lon
