word	freq	pinyin
车展	501000	chezhan
蛋糕	501000	dangao
豆腐	501000	doufu
二手车	501000	ershouche
检查	501000	jiancha
轿车	501000	jiaoche
精神	501000	jingshen
面包	501000	mianbao
模具	501000	moju
摩托车	501000	motuoche
牛奶	501000	niunai
苹果	501000	pingguo
土豆	501000	tudou
新车	501000	xinche
熊猫	501000	xiongmao
医院	501000	yiyuan
用车	501000	yongche
萝卜	495881	luobo
仪表	435898	yibiao
死亡	429687	siwang
一汽	397127	yiqi
字符串	396499	zifuchuan
巧克力	374599	qiaokeli
初始化	373767	chushihua
遥控	364210	yaokong
零部件	361012	lingbujian
数组	358924	shuzu
全保	347211	quanbao
点心	346920	dianxin
恢复	330411	huifu
奥迪	327960	aodi
火锅	325863	huoguo
制动	323143	zhidong
海鲜	310902	haixian
意识	300155	yishi
的	300000	de
一	299999	yi
是	299998	shi
不	299997	bu
了	299996	le
在	299995	zai
人	299994	ren
有	299993	you
我	299992	wo
他	299991	ta
这	299990	zhe
个	299989	ge
们	299988	men
中	299987	zhong
来	299986	lai
上	299985	shang
大	299984	da
为	299983	wei
和	299982	he
国	299981	guo
地	299980	di
到	299979	dao
以	299978	yi
说	299977	shuo
时	299976	shi
要	299975	yao
就	299974	jiu
出	299973	chu
会	299972	hui
可	299971	ke
也	299970	ye
你	299969	ni
对	299968	dui
生	299967	sheng
能	299966	neng
而	299965	er
子	299964	zi
那	299963	na
得	299962	de
于	299961	yu
着	299960	zhe
下	299959	xia
自	299958	zi
之	299957	zhi
年	299956	nian
过	299955	guo
发	299954	fa
后	299953	hou
作	299952	zuo
里	299951	li
的	299950	di
用	299950	yong
道	299949	dao
是	299948	ti
行	299948	xing
不	299947	fou
所	299947	suo
了	299946	liao
然	299946	ran
家	299945	jia
种	299944	zhong
事	299943	shi
成	299942	cheng
方	299941	fang
他	299941	tuo
多	299940	duo
这	299940	zhei
经	299939	jing
么	299938	me
去	299937	qu
法	299936	fa
学	299935	xue
大	299934	dai
如	299934	ru
都	299933	dou
同	299932	tong
现	299931	xian
当	299930	dang
地	299930	de
没	299929	mei
动	299928	dong
以	299928	si
面	299927	mian
说	299927	shui
起	299926	qi
看	299925	kan
定	299924	ding
天	299923	tian
分	299922	fen
会	299922	kuai
还	299921	hai
进	299920	jin
也	299920	yi
好	299919	hao
小	299918	xiao
部	299917	bu
其	299916	qi
能	299916	tai
而	299915	neng
些	299915	xie
主	299914	zhu
样	299913	yang
理	299912	li
于	299911	wei
心	299911	xin
她	299910	ta
着	299910	zhao
本	299909	ben
前	299908	qian
开	299907	kai
之	299907	zhu
但	299906	dan
年	299906	ning
因	299905	yin
只	299904	zhi
从	299903	cong
想	299902	xiang
实	299901	shi
行	299898	hang
种	299894	chong
有	299893	wei
事	299893	zi
个	299889	gan
么	299888	yao
大	299884	tai
都	299883	du
和	299882	hu
没	299879	mo
说	299877	yue
可	299871	ge
还	299871	huan
部	299867	pou
其	299866	ji
能	299866	nai
些	299865	suo
那	299863	nuo
得	299862	dei
她	299860	jie
前	299858	jian
但	299856	tan
从	299853	zong
葡萄酒	299849	putaojiu
行	299848	heng
不	299847	fu
么	299838	mo
和	299832	huo
没	299829	me
还	299821	fu
于	299811	xu
她	299810	chi
着	299810	zhuo
但	299806	yan
日	299800	ri
军	299799	jun
者	299798	zhe
意	299797	yi
无	299796	wu
家	299795	jie
力	299795	li
它	299794	ta
与	299793	yu
长	299792	zhang
把	299791	ba
方	299791	pang
机	299790	ji
十	299789	shi
么	299788	ma
民	299788	min
第	299787	di
公	299786	gong
此	299785	ci
已	299784	yi
工	299783	gong
使	299782	shi
情	299781	qing
明	299780	ming
性	299779	xing
知	299778	zhi
全	299777	quan
三	299776	san
又	299775	you
关	299774	guan
点	299773	dian
正	299772	zheng
业	299771	ye
外	299770	wai
将	299769	jiang
两	299768	liang
高	299767	gao
间	299766	jian
能	299766	xiong
由	299765	you
问	299764	wen
很	299763	hen
那	299763	nei
最	299762	zui
重	299761	zhong
并	299760	bing
物	299759	wu
手	299758	shou
应	299757	ying
战	299756	zhan
向	299755	xiang
头	299754	tou
文	299753	wen
体	299752	ti
政	299751	zheng
美	299750	mei
相	299749	xiang
见	299748	jian
被	299747	bei
利	299746	li
无	299746	mo
家	299745	gu
什	299745	shen
二	299744	er
它	299744	tuo
等	299743	deng
产	299742	chan
长	299742	chang
或	299741	huo
方	299741	wang
机	299740	wei
新	299740	xin
己	299739	ji
制	299738	zhi
身	299737	shen
果	299736	guo
加	299735	jia
已	299734	si
西	299734	xi
斯	299733	si
月	299732	yue
话	299731	hua
合	299730	he
明	299730	meng
回	299729	hui
特	299728	te
代	299727	dai
内	299726	nei
信	299725	xin
表	299724	biao
化	299723	hua
老	299722	lao
给	299721	gei
世	299720	shi
位	299719	wei
次	299718	ci
度	299717	du
门	299716	men
任	299715	ren
由	299715	yao
常	299714	chang
先	299713	xian
最	299712	cuo
海	299712	hai
重	299711	chong
通	299711	tong
教	299710	jiao
儿	299709	er
原	299708	yuan
东	299707	dong
声	299706	sheng
提	299705	ti
立	299704	li
及	299703	ji
比	299702	bi
员	299701	yuan
解	299700	jie
