word	freq	pinyin
他	95000	ta
她	94000	ta
它	93000	ta
的	92000	de
是	91000	shi
了	90000	le
你好	9000	nihao
你好吗	8000	nihaoma
你好啊	7000	nihaoa
中国	8500	zhongguo
我们	7500	women
我	6000	wo
你	5500	ni
尼	5000	ni
泥	4000	ni
好	6500	hao
号	4500	hao
豪	3500	hao
一人	5000	yiren
输入	4800	shuru
输入法	12000	shurufa
方法	5200	fangfa
国家	5100	guojia
北京	6000	beijing
上海	5900	shanghai
谢谢	5800	xiexie
再见	5700	zaijian
明天	5600	mingtian
今天	5500	jintian
学习	5400	xuexi
工作	5300	gongzuo
电脑	5200	diannao
手机	5100	shouji
网络	5000	wangluo
世界	4900	shijie
人民	4800	renmin
时间	4700	shijian
问题	4600	wenti
生活	4500	shenghuo
发展	4400	fazhan
经济	4300	jingji
社会	4200	shehui
公司	4100	gongsi
系统	4000	xitong
程序	3900	chengxu
软件	3800	ruanjian
硬件	3700	yingjian
数据库	3600	shujuku
服务器	3500	fuwuqi
客户端	3400	kehuduan
浏览器	3300	liulanqi
操作系统	3200	caozuoxitong
人工智能	3100	rengongzhineng
机器学习	3000	jiqixuexi
深度学习	2900	shenduxuexi
自然语言	2800	ziranyuyan
处理	2700	chuli
分析	2600	fenxi
设计	2500	sheji
开发	2400	kaifa
测试	2300	ceshi
部署	2200	bushu
维护	2100	weihu
管理	2000	guanli
优化	1900	youhua
性能	1800	xingneng
安全	1700	anquan
隐私	1600	yinsi
密码	1500	mima
登录	1400	denglu
注册	1300	zhuce
账户	1200	zhanghu
支付	1100	zhifu
订单	1000	dingdan
商品	990	shangpin
价格	980	jiage
优惠	970	youhui
评论	960	pinglun
分享	950	fenxiang
收藏	940	shoucang
关注	930	guanzhu
粉丝	920	fensi
视频	910	shipin
音乐	900	yinyue
游戏	890	youxi
运动	880	yundong
健康	870	jiankang
医疗	860	yiliao
教育	850	jiaoyu
文化	840	wenhua
历史	830	lishi
地理	820	dili
科学	810	kexue
技术	800	jishu
艺术	790	yishu
文学	780	wenxue
哲学	770	zhexue
数学	760	shuxue
物理	750	wuli
化学	740	huaxue
生物	730	shengwu
环境	720	huanjing
能源	710	nengyuan
交通	700	jiaotong
旅游	690	lvyou
酒店	680	jiudian
餐厅	670	canting
美食	660	meishi
咖啡	650	kafei
茶	640	cha
水果	630	shuiguo
蔬菜	620	shucai
天气	610	tianqi
温度	600	wendu
下雨	590	xiayu
晴天	580	qingtian
冬天	570	dongtian
夏天	560	xiatian
春天	550	chuntian
秋天	540	qiutian
早上	530	zaoshang
晚上	520	wanshang
中午	510	zhongwu
凌晨	500	lingchen
小时	490	xiaoshi
分钟	480	fenzhong
秒钟	470	miaozhong
年份	460	nianfen
月份	450	yuefen
日期	440	riqi
星期	430	xingqi
周末	420	zhoumo
节日	410	jieri
春节	400	chunjie
中秋	390	zhongqiu
国庆	380	guoqing
元旦	370	yuandan
生日	360	shengri
礼物	350	liwu
朋友	340	pengyou
家人	330	jiaren
父母	320	fumu
孩子	310	haizi
老师	300	laoshi
学生	290	xuesheng
同学	280	tongxue
同事	270	tongshi
领导	260	lingdao
客户	250	kehu
用户	240	yonghu
产品	230	chanpin
项目	220	xiangmu
任务	210	renwu
目标	200	mubiao
计划	190	jihua
结果	180	jieguo
原因	170	yuanyin
过程	160	guocheng
方法	150	fangfa
方式	140	fangshi
情况	130	qingkuang
条件	120	tiaojian
要求	110	yaoqiu
标准	100	biaozhun
规则	90	guize
法律	80	falv
政策	70	zhengce
政府	60	zhengfu
市场	50	shichang
行业	40	hangye
企业	30	qiye
团队	20	tuandui
组织	10	zuzhi
