word	freq	pinyin
车展	501000	chezhan
蛋糕	501000	dangao
豆腐	501000	doufu
二手车	501000	ershouche
检查	501000	jiancha
轿车	501000	jiaoche
精神	501000	jingshen
面包	501000	mianbao
模具	501000	moju
摩托车	501000	motuoche
牛奶	501000	niunai
苹果	501000	pingguo
土豆	501000	tudou
新车	501000	xinche
熊猫	501000	xiongmao
医院	501000	yiyuan
用车	501000	yongche
萝卜	495881	luobo
仪表	435898	yibiao
死亡	429687	siwang
一汽	397127	yiqi
字符串	396499	zifuchuan
巧克力	374599	qiaokeli
初始化	373767	chushihua
遥控	364210	yaokong
零部件	361012	lingbujian
数组	358924	shuzu
全保	347211	quanbao
点心	346920	dianxin
恢复	330411	huifu
奥迪	327960	aodi
火锅	325863	huoguo
制动	323143	zhidong
海鲜	310902	haixian
意识	300155	yishi
葡萄酒	299849	putaojiu
医疗	291407	yiliao
包子	289537	baozi
治疗	288165	zhiliao
星光	284843	xingguang
马自达	269085	mazida
牵引	268810	qianyin
扭矩	267823	niuju
霸道	257877	badao
加载	257124	jiazai
馒头	246498	mantou
卫生	243636	weisheng
羊肉	243351	yangrou
客户端	235160	kehuduan
应用程序	233083	yingyongchengxu
加油站	232838	jiayouzhan
自定义	222736	zidingyi
信鸽	221963	xinge
柠檬	217416	ningmeng
香蕉	214220	xiangjiao
淀粉	208643	dianfen
患者	196788	huanzhe
检测	190815	jiance
配置文件	189784	peizhiwenjian
雅阁	187698	yage
接触	187659	jiechu
封装	184832	fengzhuang
多普达	181147	duopuda
监测	180771	jiance
字段	180325	ziduan
应急	177681	yingji
缓解	175909	huanjie
酱油	170116	jiangyou
核桃	167694	hetao
饮用水	165027	yinyongshui
指挥官	162861	zhihuiguan
预防	162366	yufang
鸳鸯	160379	yuanyang
青团	158219	qingtuan
损害	156599	sunhai
米饭	155542	mifan
酸奶	154794	suannai
试驾	154699	shijia
疾病	153915	jibing
驾校	152105	jiaxiao
豆浆	150318	doujiang
啊	150000	a
吧	150000	ba
不	150000	bu
出	150000	chu
大	150000	da
到	150000	dao
道	150000	dao
的	150000	de
得	150000	de
地	150000	di
对	150000	dui
多	150000	duo
个	150000	ge
过	150000	guo
国	150000	guo
还	150000	hai
好	150000	hao
和	150000	he
会	150000	hui
家	150000	jia
就	150000	jiu
看	150000	kan
可	150000	ke
来	150000	lai
了	150000	le
吗	150000	ma
么	150000	me
没	150000	mei
们	150000	men
那	150000	na
呢	150000	ne
能	150000	neng
你	150000	ni
去	150000	qu
然	150000	ran
人	150000	ren
上	150000	shang
什	150000	shen
生	150000	sheng
是	150000	shi
时	150000	shi
说	150000	shuo
它	150000	ta
他	150000	ta
她	150000	ta
为	150000	wei
我	150000	wo
下	150000	xia
学	150000	xue
要	150000	yao
也	150000	ye
以	150000	yi
一	150000	yi
有	150000	you
于	150000	yu
在	150000	zai
这	150000	zhe
着	150000	zhe
之	150000	zhi
中	150000	zhong
自	150000	zi
子	150000	zi
白糖	149447	baitang
方便面	148895	fangbianmian
比亚迪	148538	biyadi
可口可乐	148493	kekoukele
乙醇	146895	yichun
红柿	146302	hongshi
解决方案	146173	jiejuefangan
铃木	145083	lingmu
普洱茶	144106	puercha
西红柿	143633	xihongshi
茅台	139697	maotai
鱼类	138579	yulei
雷诺	138332	leinuo
编译器	135456	bianyiqi
无畏	135195	wuwei
重启	134085	zhongqi
磷酸	132081	linsuan
幻影	131315	huanying
控件	130597	kongjian
磨合	130255	mohe
子类	130011	zilei
托盘	129371	tuopan
青梅	128492	qingmei
越野车	127663	yueyeche
文件名	126730	wenjianming
风华	126223	fenghua
沙拉	122544	shala
黄蜂	119861	huangfeng
数据结构	119113	shujujiegou
手术	118069	shoushu
数据类型	117821	shujuleixing
奶油	116847	naiyou
石膏	115616	shigao
石榴	114867	shiliu
构造函数	114104	gouzaohanshu
豆油	113470	douyou
奶酪	111257	nailao
青菜	111184	qingcai
奶茶	110759	naicha
病人	110328	bingren
开发者	110188	kaifazhe
肉眼	108745	rouyan
跃进	108550	yuejin
木耳	108136	muer
铁板	106443	tieban
生姜	103878	shengjiang
黄豆	103012	huangdou
解决方法	102916	jiejuefangfa
三七	102601	sanqi
烤肉	102498	kaorou
用户名	101988	yonghuming
大肉	101457	darou
林肯	101281	linken
北京现代	100890	beijingxiandai
新车型	100322	xinchexing
乐风	100164	lefeng
头文件	98039	touwenjian
人体	95970	renti
展馆	95800	zhanguan
感染	95768	ganran
洋葱	95307	yangcong
命令行	94940	minglingxing
娃哈哈	93268	wahaha
实例化	92876	shilihua
递归	92824	digui
香菇	91300	xianggu
油品	90877	youpin
症状	90318	zhengzhuang
松花	90074	songhua
川菜	89350	chuancai
父类	89194	fulei
海带	87704	haidai
医学	87135	yixue
五粮液	86600	wuliangye
电瓶	86500	dianping
多线程	84642	duoxiancheng
东风日产	84309	dongfengrichan
多宝	84061	duobao
一次性	83632	yicixing
诊断	83265	zhenduan
金鹰	82091	jinying
鱿鱼	81989	youyu
山药	81972	shanyao
聚乙烯	81610	juyixi
飞碟	81370	feidie
医药	79913	yiyao
环境变量	79482	huanjingbianliang
水母	79147	shuimu
